# FILE-FIRST verification verdicts, 2026-07-02. Sonnet 4.6 (claude-sonnet-4-6) mechanical
# verification vs csl-orig entry text; Fable 5 (claude-fable-5) adjudication of the 28 flags.
# verdict: PASS (file) | SCAN-FIRST (file; scan is decisive) | EDITORIAL (duplicate/apparatus
# collision - editor chooses merge vs respell) | DNF (do-not-file) | DROP (stale/already fixed)
dict	wrong	right	verdict	note
SHS	kAzwakuddAla	kAzWakuddAla	PASS	E. {#kAzWa#} wood, and {#kuddAla#} shovel; also with the first vowel long {#kUddAla, kAzWakUddAla#}. -- etymology and cross-reference both spell kAzWa with capital W; headword kAzwakuddAla has lowercase w
SHS	klItakika	klItakikA	PASS	E. {#krItaka#} traffic, ... (fem. marker context); MISSING evidence but entry supports fem -ikA reading; accepted per worklist rationale, no contradiction found
SHS	kzIraballI	kzIravallI	PASS	E. {#kzIra#} water, and {#vallI#} pedicle: see {#kzIrakandA#}. -- etymology spells vallI with v; headword kzIraballI has b
SHS	laGizwa	laGizWa	PASS	mfn. ({#-zWaH-zWA-zWaM#}) ... E. {#laGa#} light, {#izWan#} aff. of the irr. superlative. -- inflectional stem -zWa (capital W) and superlative affix izWan both confirm retroflex zWa; headword laGizwa has lowercase w
SHS	maYjarinamra	maYjarInamra	PASS	{#maYjarinamra#} m. (-mraH) The Vetasa plant.; entry is terse, no E. etymology to arbitrate i/I length; accepted on worklist rationale (affix pattern), not contradicted
SHS	murali	muralI	PASS	f.(-lI): {#murali#} f. ({#-lI#}) A flute, a pipe. E. {#mura#} ... {#lA#} ... affs. {#ka#} and {#NIz#} -- fem. inflectional stem -lI implies nom. muralI, headword short-i is inconsistent
SHS	natyuha	natyUha	PASS	{#natyuha#} m. ({#-haH#}) A gallinule.; no E. etymology present; PASS on worklist's MISSING basis, no internal contradiction found
SHS	navakArika	navakArikA	PASS	E. {#nava#} new, and {#kArikA#} agent. -- etymology spells the second element kArikA (fem., long final A); headword navakArika ends short -ika
SHS	ninittakAla	nimittakAla	PASS	E. {#nimitta#}, and {#kAla#} time. -- etymology literally spells nimitta; headword ninittakAla has ninitta
SHS	nyaNkuBUrUha	nyaNkuBUruha	PASS	E. {#nyaNku#} a deer, and {#BUruha#} [a tree] -- etymology spells BUruha with short u; headword has BUrUha with long U
SHS	pAniyavarRikA	pAnIyavarRikA	PASS	{#pAniyavarRikA#} f. ({#-kA#}) Sand. {#pAnIyamiva varRavati-varRi-Rvul#}. -- entry's own grammatical derivation spells pAnIya with long I; headword pAniyavarRikA has short i
SHS	paNKagrAha	paNkagrAha	PASS	E. {#paNka#} mud, and {#grAha#} a shark. -- etymology spells paNka with lowercase k; headword paNKagrAha has capital K
SHS	padazwIva	padazWIva	PASS	n. ({#-vaM#}) The feet and knees. E. {#pad#} a foot, and {#azWIvat#} the knee, deriv. irr. -- etymology spells azWIvat with capital W; headword padazwIva has lowercase w
SHS	pitfrupa	pitfrUpa	PASS	{#pitfrupa#} m. ({#-paH#}) An epithet of SIVA.; no E. etymology present, but compound transparently = pitf + rUpa 'form', matching the systematic rupa->rUpa correction class seen elsewhere in this batch (jalarupa->jalarUpa); accepted, no contradiction found
SHS	pratipaTan	pratipaTam	SCAN-FIRST	bare gloss, no internal etymology; adverbial -am grammar-plausible; scan decides [sonnet: FLAG — evidence-not-found: entry is a bare gloss with no E. etymology or inflection ({#pratipaTan#} Ind. Along the road.) -- nothing in the entry body confirms -an vs -am; correction plausible on general grammatical grounds (adverbial accusative -am pattern) but not evidenced by this entry's own text]
SHS	pratyupaveza	pratyupaveSa	SCAN-FIRST	bare gloss; z/S not internally decidable; upaveSa (root viS) etymology-certain; scan decides [sonnet: FLAG — evidence-not-found: entry is a bare gloss with no E. etymology ({#pratyupaveza#} m. ({#-zaH#}) Besetting any one in order to bring him to compliance.) -- nothing in the entry body confirms z vs S]
SHS	purUzadantikA	puruzadantikA	PASS	{#purUzadantikA#} f. ({#-kA#}) A medicinal root; see {#medA#}.; no E. etymology present; PASS on worklist's MISSING basis (purUza -> puruza is the standard short-u spelling of the word 'man'), no contradiction found
SHS	saptAtitama	saptatitama	PASS	{#saptAtitama#} mfn. (-maH-mA-maM) The seventieth.; wrong spelling also recurs in body headword tag only, no other body occurrence
SHS	svarRabalkala	svarRavalkala	PASS	E. {#svarRa#} gold, {#valkala#} bark. -- etymology spells valkala with v; headword svarRabalkala has b
SHS	vAcanIka	vAcanika	PASS	E. {#vacana#} and {#Wak#} aff. -- Wak (thak) affix regularly yields short -ika, not long -Ika; headword vAcanIka contradicts its own etymology
SHS	vArttayana	vArttAyana	PASS	E. {#vArttA#} news, {#ayana#} going. -- etymology spells vArttA with long final A joining ayana; headword vArttayana has short a at the join
SHS	viSamaSIla	vizamaSIla	PASS	E. {#vizama, SIla#} having. -- etymology spells vizama with retroflex z; headword viSamaSIla has palatal S at that position
SHS	zuh	suh	PASS	{#zuh#} r. 4th cl. ({#suhyati#}) 1. To bear, to endure. 2. To be content or ... -- the cited present-tense form suhyati is built on root suh (dental s), contradicting the retroflex-z headword zuh
YAT	AkzadyUta	akzadyUta	EDITORIAL	near-duplicate pair cross-ref'd "Idem"; merge-or-respell is editor call [sonnet: FLAG — homograph/direction-doubt: 'AkzadyUta' (L4372, gloss 'Gambling') and 'akza-dyUta' (L99, gloss 'Idem' i.e. cross-referenced as the same meaning 'gambling') are two separately-listed near-duplicate YAT headwords for the same concept (akṣa-dyūta 'dice-gambling', initial vowel long vs short). L99 is explicitly glossed 'Idem' pointing back to another entry, suggesting the dictionary already treats these as duplicate/variant spellings rather than the worklist's proposed one-way merge -- flag for human check of which entry the 'Idem' cross-reference actually targets and whether L4372 should be deleted/merged instead of respelled.]
YAT	AparAhnika	AparAhRika	SCAN-FIRST	k2 dental merely mirrors the k1 typo (not independent); aparAhRa Natva is grammar-certain; keep [sonnet: FLAG — evidence-not-found / direction-doubt: L4882 k2 itself is written 'AparA_hnika' (with dental hnika, underscore marking sandhi break apara+ahna+ika), i.e. the entry's OWN k2 segmentation uses dental n, not the proposed retroflex R. This is the OPPOSITE of what the worklist's ṇatva-based note implies -- the body gives no citation overriding the dental spelling shown in k2. Direction needs re-examination; possible the worklist has this backwards (aparāhṇika is attested with retroflex ṇ in Sanskrit generally, but this specific YAT entry's own k2 contradicts by showing dental hnika).]
YAT	RaB	naB	PASS	L16285 k1=RaB, body ITSELF conjugates the verb as 'naBati, naByati, naBnAti' (root forms already spelled with dental n, not retroflex R) -- the headword 'RaB' contradicts its own inflected forms shown in-line. Strong internal evidence for naB.
YAT	RiS	niS	DNF	likely Dhatupatha nopadesa root-notation (cf. KRM class ruled intentional); filing would destroy deliberate record [sonnet: FLAG — evidence-not-found + homograph: 'RiS' (L16299, verb 'neSati... to meditate profoundly, or abstractedly') and 'niS' (L21672, noun 'Night', with variant k2 'niw') are semantically and grammatically unrelated words (a verbal root vs. a feminine noun 'night') that merely happen to look similar in SLP1. No internal evidence in the RiS entry supports respelling to niS; the MISSING evidence could not be independently confirmed from body text. Also 'niS' already exists as a distinct, unrelated headword -- collapsing RiS into niS would be a category error, not a typo fix.]
YAT	Rij	nij	PASS	L16295 k1=Rij, body conjugates 'niMkte, nenekti, nenikte' -- all dental n, contradicting retroflex-R headword. Strong internal evidence for nij (root √nij 'to cleanse').
YAT	aSanayA	aSanAyA	PASS	L3591 k1=aSanayA, gloss 'Hunger.' matches the known lexeme aSanAyA 'hunger, appetite' (from aSana + kyac); no independent 'aSanAyA' headword collision found in YAT; vowel-length correction is consistent with the attested word and its gloss.
YAT	ambukfta	ambUkfta	PASS	L2458 k1=ambukfta, gloss 'Sputtered' -- ambu 'water' + kṛta would give ambukṛta (short u), but 'Sputtered' suggests ambūkṛta (onomatopoeic ambu-sound root ambūy-). No colliding headword; plausible correction, category evidence only.
YAT	arsasa	arSasa	SCAN-FIRST	arsasa/arSasa differ in POS and both attested; possible real pair; scan decides [sonnet: FLAG — homograph/direction-doubt: 'arsasa' (L2886, noun 'Hoemorrhoids' i.e. piles) and 'arSasa' (L2878, adjective '(saH-sA-saM) Having the piles') are two DIFFERENT parts of speech (noun vs adjective) with different grammatical endings shown, both independently attested near each other (L2878 vs L2886). This looks like two genuinely separate YAT entries (noun arśas-derived-noun vs adjective arśasa) rather than one typo'd into the other -- flag for human check of whether a merge or respelling is actually warranted.]
YAT	asaMSakta	asaMsakta	SCAN-FIRST	root sanj -> sakta dental-s etymology-certain; terse body silent; scan decides [sonnet: FLAG — direction-doubt: gloss 'Indifferent' (a-saMsakta, 'unattached/detached', from sañj 'to cling', dental s) is semantically consistent with the PROPOSED correction (asaMsakta = not-attached), i.e. the entry's own gloss supports 'right' over 'wrong' -- however no independent corroborating citation/etymology string is present in the terse body to literally confirm the sibilant choice; flagged for a second look since asaMSakta with palatal S does not correspond to any known root and 'wrong' may instead be a scan/print artifact rather than a markup typo.]
YAT	avasfzWa	avasfzwa	PASS	L44708 k1=avasfzWa, gloss '(zwaH-zwA-zwaM) Removed, dismissed.' ava-sṛṣṭa (ppp of ava-sṛj 'to let go, dismiss') takes unaspirated ṣṭ = SLP1 zw, matching the inflection endings shown in-line (zwaH-zwA-zwaM), which contradicts the aspirated zW in the headword itself. Strong internal evidence for avasfzwa.
YAT	cInapizWa	cInapizwa	PASS	L14776 k1=cInapizWa, gloss 'Lead, red-lead.' cīna-piṣṭa 'Chinese powder' takes retroflex ṣṭ = SLP1 'zw' (from √piṣ 'to grind', ppp piṣṭa), not aspirated 'zW'. No colliding headword; correction direction consistent.
YAT	drAvana	drAvaRa	PASS	L19466 k1=drAvana, gloss 'clearing nut; causing to fly; fusing, distilling' = drāvaṇa (causative noun of √dru 'to run/melt', takes retroflex Ra per general ṇatva rule after r). No separate 'drAvaRa' headword found to collide; dental->retroflex correction consistent with the word's derivation.
YAT	duzwu	duzWu	PASS	L18885 k1=duzwu, gloss '(zwuH-zwuH-zwu) Ill; improper.' duṣṭu is not a standard independent word; likely a corruption route via 'duṣṭha'/'duḥṣṭhu' (ill-placed/improper), which would take aspirated ṣṭh = SLP1 zW. No colliding headword found; category evidence only, no internal contradiction against the correction.
YAT	gaDABft	gadABft	EDITORIAL	dual-listing cross-ref'd "Idem"; respell collides with existing gadABft — editor call [sonnet: FLAG — homograph/direction-doubt: 'gaDABft' (L45090, 'Viṣṇu') and 'gadA-Bft' (L12584, 'Idem.' i.e. also Viṣṇu, mace-bearer) are BOTH separate YAT headwords with the same referent (Viṣṇu) already cross-glossed as 'Idem'. This looks like the dictionary's own intentional dual-listing (gadA-bhṛt 'mace-bearer'), and 'gaDABft' with aspirated D is plausibly a genuine variant/typo of gadA-Bft, but since 'right' already exists as its own correctly-formed headword, collapsing risks duplicate/merge issues -- flag for human check rather than silent merge.]
YAT	hantAkAra	hantakAra	PASS	L43740 k1=hantAkAra, gloss 'Rice to be given to a guest' matches hanta-kāra vocative-particle compound; no colliding headword found; vowel-length correction plausible, no internal contradiction.
YAT	lakzmIpala	lakzmIPala	PASS	L32245 k1=lakzmIpala, gloss 'Ægle marmelos' (bael fruit). lakṣmī-phala 'fruit of Lakṣmī/fortune' requires aspirated Pa (phala 'fruit'), not unaspirated pa ('protector'), matching the fruit-tree gloss. No colliding headword; correction direction consistent with the gloss.
YAT	mahAmayA	mahAmAyA	PASS	L29443 k1=mahAmayA k2=mahA-mayA, gloss 'Durgā; illusion.' No collision with a separate 'mahAmAyA' headword found. 'mAyA' (illusion) long-A is the standard lexeme and matches the gloss itself ('illusion'); short 'mayA' is not an independent word here. Category evidence (vowel-length) is consistent with body; no contradiction found.
YAT	mayAvin	mAyAvin	EDITORIAL	both spellings are separate YAT entries w/ distinct glosses; respell collides — merge-or-respell is editor call [sonnet: FLAG — homograph/direction-doubt: 'mayAvin' (L45199, 'A cheat.') and 'mAyA-vin' (L29759, 'A juggler.') are BOTH independently attested YAT headwords with distinct glosses, not a single misspelled entry. No internal evidence (etymology/citation) in L45199 supports lengthening a->A; the two forms look like genuinely separate lexemes (mayin-vin cheat vs mAyA-vin illusion-possessor). Needs scan/source check, not a mechanical fix.]
YAT	pAradfzvan	pAradfSvan	PASS	L23941 k1=pAradfzvan, inflection shown in-line as '(zvA-zvA-zva)' uses retroflex-z-cluster matching the headword's zv, not an S-cluster -- inflection given doesn't obviously favor either sibilant, but no separate 'pAradfSvan' headword exists to collide with; category evidence only, no contradiction found against the proposed correction.
YAT	pakzipARIyaSAlikA	pakzipAnIyaSAlikA	PASS	L22222 k1=pakzipARIyaSAlikA, gloss 'A trough for watering beasts, &c.' pakṣi-pānīya-śālikā 'bird drinking-water shed' -- pānīya 'water/drink' (from pā 'to drink') takes dental n, contradicted by the retroflex R in the headword (ṇatva does not apply here since pA and nIya are not in the retroflex-triggering configuration with an intervening r/ṣ). No colliding headword found; correction direction consistent with gloss ('watering trough') and the known word pānīya.
YAT	prAkPAlguRa	prAkPAlguna	PASS	L26448 k1=prAkPAlguRa, gloss '(RaH) Idem.' (cross-ref to phalguna, the month/nakṣatra name). Phalguna is a proper-noun-derived word (from phalgu/phalgunī nakṣatra) that conventionally takes dental n, not retroflex ṇ, despite the preceding r in prāk (which is a separate prefix word, not part of the ṇatva domain of phalguna itself). No colliding headword found; correction direction consistent with the standard spelling of the month name Phalguna.
YAT	prAyopavizWa	prAyopavizwa	PASS	L45171 k1=prAyopavizWa, gloss 'Fasting to death.' inflection shown in-line '(zwaH-zwA-zwaM)' uses UNASPIRATED zw, directly contradicting the headword's aspirated zW. Strong internal evidence for prAyopavizwa (prāyopaviṣṭa, ppp of upa-viś 'to sit down', not an aspirate-taking root).
YAT	pratisidDa	pratizidDa	EDITORIAL	near-identical glosses = true duplicates; needs merge decision, not silent respell [sonnet: FLAG — homograph/direction-doubt: 'pratisidDa' (L25690, 'Prohibited.') and 'prati-zidDa' (L25660, 'Forbidden, prohibited, unlawful.') are two separately-listed YAT headwords with near-identical/overlapping glosses ('Prohibited' vs 'Forbidden, prohibited, unlawful') -- almost certainly duplicate listings of the same word pratiṣiddha (ppp of prati-ṣidh, which regionally requires retroflex ṣ = SLP1 z per general rule after r/i in same word... but here 's' follows 'i' directly in a different morpheme boundary). The near-identical glosses strongly suggest L25690 is a genuine duplicate/typo of L25660 and the correction direction is plausible, but since 'right' already exists as an independent, fuller entry, flag for a merge decision rather than a silent respell (risk of orphaning L25690 as an empty duplicate after correction).]
YAT	saNGati	saNgati	SCAN-FIRST	saMhati/saMgati-type real minimal-pair risk; both entries attested w/ different glosses; scan decides [sonnet: FLAG — homograph/direction-doubt: 'saNGati' (L39665, 'A collecting.') and 'sa-Ngati' (L39637, 'Meeting; mixture; practicability; intercourse; conversancy, knowledge, search after information.') are TWO separately and richly glossed YAT headwords with different (though related) senses -- saṃghāti 'a collection/aggregate' (aspirated Gh, from √han/ghn) vs saṃgati 'meeting, association' (unaspirated g, from √gam). These are plausibly two genuinely DIFFERENT Sanskrit words, not one typo'd into the other; flag, do not merge.]
YAT	vESizWya	vESizwya	PASS	L36591 k1=vESizWya, gloss 'Being possessed of; distinction.' matches vaiśiṣṭya (from viśiṣṭa), which takes retroflex ṣṭ = SLP1 'zw', not aspirated 'zW'. No collision with separate headword; correction direction (zW -> zw) is consistent with the known word's phonology.
YAT	vizwABU	vizWABU	EDITORIAL	true duplicate (identical gloss, 10 L apart); needs merge/delete decision, not silent respell [sonnet: FLAG — homograph/direction-doubt: 'vizwABU' (L35741) and 'vizWABU' (L35751) are both separately listed with the identical gloss 'Born in filth.' -- i.e. the dictionary already has BOTH spellings as adjacent/duplicate headwords (L35741 and L35751, only 10 L-numbers apart). This is very likely the SAME word listed twice (retroflex WABU is correct: viṣṭhā+bhū), meaning the fix should probably MERGE/delete L35741 rather than just respell it -- direction and disposition need human judgment, not a silent field edit.]
YAT	zazWihAyana	zazwihAyana	PASS	L39185 k1=zazWihAyana, gloss 'Idem' (cross-ref, sexagenarian). ṣaṣṭi-hāyana takes ṣṭ = SLP1 zw (from ṣaṣṭi 'sixty'), not aspirated zW. No colliding headword; correction direction consistent with known numeral ṣaṣṭi.
ACC	EtareyavrAhmaRa	EtareyabrAhmaRa	PASS	L42369 wrong is isolated singleton (AK/AS/Bd/IL/Lz/Peters citations); right form EtareyabrAhmaRa (b, not v) has 4 well-attested entries (IO/W/Oxf/Paris/L/Khn/K/B..., Cs/CU/Stein, Ulwar) -- the famous Aitareya-Brahmana; v->b is a known OCR/keying confusion, direction correct
ACC	QuRqi	QuRQi	PASS	L8455 wrong is isolated singleton ('Maharaja, patron of Visvanatha (Dhundhipratapa)'); right form QuRQi (aspirated retroflex QA) has 4 well-attested entries (Jatakapaddhati/Burnell, Mamsadinirnaya/Bhr, 'father of Divakara and Sarva' Muktavalipaddhati) -- a personal name, aspiration q->Q keying error, direction correct
ACC	SAkawayanavyAkaraRa	SAkawAyanavyAkaraRa	PASS	L37662 wrong-entry body ('the grammar of the pseudo Sakatayana...') describes the same Jaina grammar as right-form entries L24762/L47125 ('by Abhinavasakatayana...Jaina community'); right form has 2 well-attested entries vs wrong's 1 -- direction correct, same referent
ACC	SakawAyanasmfti	SAkawAyanasmfti	SCAN-FIRST	vrddhi A in SAkawAyana grammar-certain; bare catalog citation; colophon-faithfulness only scan can settle [sonnet: FLAG (evidence-not-found) — L37663 wrong body = bare citation 'Quoted by Devanna in Smrticandrika', no internal contradiction; right L24763 is a separate independently-cited entry ('Quoted in Pravaradhyaya...by Hemadri...by Nilakantha'). No internal proof; relies solely on cross-dict spelling-consistency assumption -- evidence genuinely MISSING as labeled, verdict unchanged from source triage but flagged since no snippet could be extracted]
ACC	SatapaTavrAhmaRa	SatapaTabrAhmaRa	PASS	L24444 wrong is isolated singleton with extensive citation list itself but under the v-spelling; right form SatapaTabrAhmaRa (b) has 3 separate well-attested entries (Vs.Madhyamdina Sakha citations, Ulwar, Bd/Lz/Peters) -- the famous Satapatha-Brahmana; v->b keying error, direction correct
ACC	SravaRadvAdaSIvratakalpa	SrAvaRadvAdaSIvratakalpa	PASS	L38014 wrong is isolated singleton (Gov.Or.Libr.Madras); right form SrAvaRadvAdaSIvratakalpa L25895 ('Taylor 1,415. --from the Bhavisyottarapurana. Taylor 1,29') -- Sravana is the standard month-name (Sravana-dvadasi-vrata, a lunar-calendar vow), the long-a form is the standard grammatical spelling of the month name; direction correct, no reversal risk
ACC	bfhannArayaRopanizad	bfhannArAyaRopanizad	PASS	L45143 wrong is isolated singleton (AS p.120, Lz.116,2); right L15228 'See Mahanarayanopanisad' cross-refs right-form mahAnArAyaRopanizad L17170 which explicitly lists 'mahAnArAyaRopanizad or bfhannArAyaRopanizad or...' -- self-referential alias chain confirms correct spelling & direction
ACC	dakziRamUrtisaMhitA	dakziRAmUrtisaMhitA	PASS	L40151 wrong is isolated singleton (Ulwar 2164, Extr.629); right form dakziRAmUrtisaMhitA has 5 separate well-attested entries (NP/VI/Mysore/Bhr/Oppert/Peters, Agamatattvavilasa, Bhau Dai/IO/Oudh/Stein, AS/CS/Whish) -- Dakssinamurti is a standard theonym, direction correct
ACC	gAyatrIBAsya	gAyatrIBAzya	EDITORIAL	wrong-form entry has its own independent citation list, zero overlap — may be separately-cataloged ms under variant title [sonnet: FLAG (homograph|direction-doubt) — L5911 wrong entry has its OWN substantial independent citation list (Oxf.296b, B.1,12, Taylor 1,282, Oppert II,6254, by Sankaracarya, B.4,50, BA.16) distinct from right-form entries (L5912 'or saMDyABAzya', L32589 'by Sayana. Stein 221'); no shared cross-reference or overlapping source between wrong and right entries found -- cannot rule out these being two independently-catalogued (and possibly genuinely differently-spelled-in-source) manuscripts; sibilant s/z confusion is plausible but internal proof absent -- flag for human scan check]
ACC	jEminIyanyAyamAlAvistAra	jEminIyanyAyamAlAvistara	PASS	L8176 wrong is isolated singleton ('by Somesvara(?). Ben.90'); right form has 5 well-attested entries incl. L8175 explicit alias list ('called also nyAyamAlAvistara or aDikaraRaratnamAlA...by Madhavacarya') -- direction correct, same Mimamsa commentary
ACC	kAwakopanizad	kAWakopanizad	PASS	L30371 wrong-entry body contains Aufrecht's own editorial corrigenda markers {%add%}/{%read%}/{%delete%} referencing multiple commentaries (Sankaracarya, Damodaracarya, Rangaramanuja) -- these are addenda notes, not a colophon quoting the wrong spelling; right form kAWakopanizad (aspirated W) is the standard Kathopanisad name -- not a faithful-colophon case, verdict PASS but see caveat note
ACC	mahAnArayaRopanizad	mahAnArAyaRopanizad	PASS	L45556 wrong is isolated singleton (Av. AS p.4-5, Lz.116,1); right form L17170 is the well-known Mahanarayanopanisad, itself explicitly cross-referencing bfhannArAyaRopanizad in the same sentence -- direction correct, same well-attested Upanisad
ACC	metrAyaRIyopanizad	mEtrAyaRIyopanizad	PASS	L45788 wrong is isolated singleton, bare citation ('Hz.1173.'), no internal evidence; right form mEtrAyaRIyopanizad has 2 well-attested entries -- L18235 gives an explicit alias list ('severally called mEtrAyaRopanizad or mEtrAyaRyupanizad or mEtreyISAKopanizad or mEtreyopanizad or mEtreyyupanizad or mEtryupanizad') establishing mE- (vrddhi diphthong) as the standard spelling of the Maitrayaniya-Upanisad family, and L35879 is independently cited (Cs./CU.add./Gov.Or.Libr.Madras/Stein) -- e->E (short-e to vrddhi-ai, SLP1 e->E) is a real vrddhi distinction, not a minor typo, but the isolated singleton under the e-spelling with zero independent attestation vs. the richly cross-referenced E-spelling makes direction clear
ACC	parAmArTasAra	paramArTasAra	PASS	L12994 wrong entry itself reads 'or SezAryA...attributed to Sesanaga'; right form paramArTasAra has 6 entries sharing the SAME alternate title 'or SezAryA'/'or ADArakArikAH' (Abhinavagupta's Paramarthasara, a well-known Kashmir Saiva text) -- the shared cross-reference confirms same referent, wrong is a lone mis-keyed duplicate; direction correct (not the aBijYAnaSAkuntala-style reversal: right is the well-attested majority form)
ACC	rAsayAtraviveka	rAsayAtrAviveka	SCAN-FIRST	yAtrA long-A certain; bare citation; scan decides colophon faithfulness [sonnet: FLAG (evidence-not-found) — L36476 wrong body = bare citation 'by Sulapani. L.4059', no internal contradiction; right form not independently cross-checked with multiple entries in this pass -- evidence remains MISSING as labeled; direction plausible (rAsayAtrA = 'car-festival', a real compound) but unconfirmed internally]
ACC	rupagosvAmin	rUpagosvAmin	PASS	L20624 wrong-entry body itself: '{#rupa gosvAmin#} brother of Sanatana and Vallabha...' -- note the k1 key is split 'rupa gosvAmin' with a literal space, an evident digitization artifact; the entry describes the well-known Gaudiya Vaisnava author Rupa Gosvamin (long U); right form rUpagosvAmin exists separately -- direction correct
ACC	sAttvikavrahmavidyAvilAsa	sAttvikabrahmavidyAvilAsa	SCAN-FIRST	vr->b brahma-certain; colophon-faithfulness risk endemic to v/b; scan decides [sonnet: FLAG (evidence-not-found) — L27669 wrong body = citation only ('vaisnava. Taylor 1,181.224.301. Oppert 5213'), no internal contradiction; right form sAttvikabrahmavidyAvilAsa is a single separate entry (Gov.Or.Libr.Madras 105) with no shared citation overlap -- v->b plausible but unconfirmed internally, evidence MISSING as labeled]
ACC	saMnyasaviDi	saMnyAsaviDi	PASS	L27117 wrong body includes 'See Ekadandisamnyasavidhi' -- Aufrecht's own cross-reference uses the long-a samnyasa- spelling, self-contradicting the short-a headword; right form saMnyAsaviDi has 2 separate well-attested entries (Gov.Or.Libr.Madras/attributed to Saunaka/Peters, and CS 2,522) sharing the 'attributed to Saunaka' detail with the wrong entry itself ('attributed to Saunaka. L.683') -- shared attribution confirms same referent; direction correct
ACC	viSvarUpanivanDa	viSvarUpanibanDa	PASS	L41161 wrong body: 'from the Bhavisyottarapurana. Ulwar 1456'; right form viSvarUpanibanDa L22804: 'a part of the Bhavisyottarapurana. W.p.136. Bik.497(fr.). Quoted by Raghunandana, Kamalakara...' -- BOTH entries independently describe the SAME source work (Bhavisyottarapurana) from different manuscript catalogues (Ulwar vs W/Bik), strongly confirming same referent, v->b keying error; direction correct
ACC	vivekacUqAmaRI	vivekacUqAmaRi	PASS	L41139 wrong is isolated singleton (by Sankaracarya, Ulwar 560); right form vivekacUqAmaRi (short final i) has 3 well-attested entries all 'by Sankaracarya' (Pheh/Poona/L/B/Oudh/Burnell/Bhr/Oppert..., Gov.Or.Libr.Madras, Whish) -- the famous Advaita text Vivekacudamani; direction correct (right is the dominant spelling)
ACC	zadarTasaMkzepa	zaqarTasaMkzepa	SCAN-FIRST	zaq- sandhi before voiced stop grammar-certain; bare citation; scan decides [sonnet: FLAG (evidence-not-found) — L47480 wrong body = citation only ('vedanta by Ramamisra. Quoted in Nyayasiddhanjana'), no internal contradiction; right form zaqarTasaMkzepa L26409 ('Quoted by Srinivasadasa in Yatindramatadipika') is a separate independent citation with no overlap -- retroflex-d plausible but unconfirmed internally, evidence MISSING as labeled]
